great,6104,Positive
small,4565,Positive
top,4063,Positive
soft,3275,Positive
little,3189,Positive
comfortable,2961,Positive
perfect,2890,Positive
nice,2861,Positive
large,2787,Positive
beautiful,2754,Positive
cute,2070,Positive
fit,1955,Positive
good,1929,Positive
much,1857,Positive
more,1853,Positive
big,1835,Positive
short,1756,Positive
black,1715,Positive
true,1668,Positive
white,1446,Positive
super,1420,Positive
petite,1247,Positive
flattering,1137,Positive
many,1091,Positive
long,1090,Positive
wear,1084,Positive
tight,1077,Positive
gorgeous,1039,Positive
high,1022,Positive
regular,1020,Positive
casual,997,Positive
loose,980,Positive
right,977,Positive
thin,945,Positive
fabric,932,Positive
usual,878,Positive
light,869,Positive
different,855,Positive
first,845,Positive
sure,844,Positive
overall,764,Positive
blue,723,Positive
wide,707,Positive
happy,701,Positive
pretty,693,Positive
unique,665,Positive
easy,664,Positive
red,650,Positive
extra,649,Positive
smaller,633,Positive
better,630,Positive
green,626,Positive
such,616,Positive
boxy,611,Positive
same,607,Positive
full,576,Positive
low,567,Positive
most,566,Positive
larger,553,Positive
adorable,548,Positive
worth,546,Positive
huge,541,Negative
didn,540,Positive
warm,522,Positive
shorter,516,Positive
fine,512,Positive
ordered,502,Positive
wish,498,Positive
favorite,491,Positive
normal,489,Positive
skinny,484,Positive
few,470,Positive
longer,456,Positive
heavy,450,Positive
thick,443,Positive
like,427,Positive
able,423,Positive
tall,415,Positive
glad,406,Positive
disappointed,398,Negative
bad,389,Negative
new,387,Positive
online,382,Positive
navy,381,Positive
best,368,Positive
only,366,Positive
waist,365,Positive
last,362,Positive
dress,362,Positive
lightweight,360,Positive
flowy,358,Positive
dark,354,Positive
chest,352,Positive
versatile,347,Positive
comfy,346,Positive
back,343,Positive
feminine,343,Positive
local,333,Positive
due,331,Positive
least,326,Positive
front,321,Positive
doesn,321,Positive
hard,317,Positive
hot,314,Positive
bottom,310,Positive
lovely,309,Positive
classic,305,Positive
several,304,Positive
don,301,Positive
stylish,286,Positive
vibrant,284,Positive
snug,280,Positive
fitted,280,Positive
wonderful,279,Positive
available,277,Positive
cheap,275,Negative
cool,270,Positive
bigger,266,Positive
fun,264,Positive
previous,263,Positive
bit,263,Positive
enough,261,Positive
open,261,Positive
tunic,255,Positive
flat,254,Positive
amazing,252,Positive
special,252,Positive
love,247,Positive
simple,245,Positive
bright,245,Positive
tiny,241,Positive
elastic,241,Positive
excited,239,Negative
higher,233,Positive
curvy,232,Positive
wasn,230,Positive
stretchy,230,Positive
unflattering,227,Negative
lower,227,Positive
similar,220,Positive
gray,220,Positive
second,218,Positive
athletic,217,Positive
neutral,215,Positive
substantial,215,Positive
own,214,Positive
material,214,Positive
broad,213,Positive
delicate,210,Positive
wrong,207,Positive
stiff,204,Positive
ll,202,Negative
basic,202,Positive
rich,201,Positive
cold,201,Positive
upper,199,Positive
weird,197,Negative
slim,196,Positive
sheer,195,Positive
baggy,194,Positive
deep,194,Positive
elegant,193,Positive
odd,192,Negative
lbs,191,Positive
underneath,189,Positive
next,186,Positive
medium,185,Positive
bust,183,Positive
awesome,182,Positive
busty,177,Positive
yellow,175,Positive
dry,174,Positive
real,173,Positive
less,172,Positive
tried,170,Positive
typical,168,Positive
itchy,166,Positive
interesting,166,Positive
tts,165,Positive
pictured,165,Positive
fabulous,165,Positive
sad,164,Negative
pleased,164,Positive
worn,164,Positive
subtle,163,Positive
see-through,163,Positive
fantastic,162,Positive
neckline,161,Positive
sweater,159,Positive
floral,158,Positive
roomy,158,Positive
cozy,156,Positive
narrow,155,Positive
dressy,155,Positive
nude,153,Positive
old,152,Positive
ok,150,Positive
whole,150,Positive
chic,147,Positive
cami,145,Positive
straight,144,Positive
strange,143,Negative
excellent,142,Positive
difficult,141,Positive
grey,140,Positive
appropriate,138,Positive
heavier,136,Positive
pregnant,135,Positive
couldn,135,Positive
expensive,131,Positive
oversized,130,Positive
liked,126,Positive
classy,125,Positive
slight,124,Positive
length,124,Positive
loved,123,Negative
solid,123,Positive
natural,123,Positive
sexy,122,Positive
isn,122,Positive
uncomfortable,121,Positive
arm,121,Positive
lighter,118,Positive
bulky,115,Positive
poor,114,Negative
pattern,114,Positive
